순번,충전소 관리번호,충전소 명,전화번호,도로명 주소,지번 주소,충전소 유형코드,충전소 유형명,충전소유형비고,충전가능차량코드,충전가능차량,판매가격,이용가능요일,월요일 시작,월요일 종료,화요일 시작,화요일종료,수요일 시작,수요일 종료,목요일 시작,목요일 종료,금요일 시작,금요일 종료,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,휴식 시간,휴식 종료,경도,위도
80,3020020121HS2021031,하이넷 자운대 수소충전소,070-4144-4833,대전광역시 유성구 자운로 62,대전광역시 유성구 자운동 280,1,단독,,1,승용,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,127.3468002,36.39835935
81,4831020121HS2021032,하이넷 거제장평 수소충전소,055-636-8541,경상남도 거제시 거제대로 5050(장평동),경상남도 거제시 장평동 861-30 새거제 가스충전소,2,복합,LPG,5,승용/버스,8800,1111111,,,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,,,128.5874718,34.89459925
82,2826020121HS2021036,태양수소충전소,032-573-2222,인천광역시 서구 봉수대로 258,인천 서구 가좌동 173-117,2,복합,CNG,5,승용/버스,8800,11111111,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,09:00,18:00,09:00,18:00,09:00,18:00,,,126.661882,37.49881367
83,2811020121HS2021033,인천그린수소충전소,070-4294-5895,인천광역시 중구 축항대로290번길 124(신흥동3가),인천광역시 중구 신흥동3가 60-25 신흥교통(주),1,단독,,5,승용/버스,8800,11111111,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,,126.6205508,37.43860349
84,4812120121HS2021034,사림 수소충전소,055-275-7716,경상남도 창원시 의창구 용동로 110,경상남도 창원시 의창구 사림동 167-1,1,단독,,5,승용/버스,8000,11111100,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,,,,,,,128.7030598,35.23987096
85,2917020121HS2021035,월출 수소충전소,062-960-9577,광주광역시 북구 삼소로270번길 25,광주광역시 북구 월출동 987,1,단독,,1,승용,8200,11111101,08:00,20:00,08:00,20:00,09:00,18:00,08:00,20:00,08:00,20:00,09:00,18:00,,,08:00,20:00,,,126.8666172,35.23906538
86,4613020121HS2020008,하이넷 SPG 여수 수소충전소,070-5014-4446,전라남도 여수시 여수산단로 603,전라남도 여수시 여수산단로 603,1,단독,,1,승용,8800,11011111,08:00,20:00,08:00,20:00,,,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,127.6865281,34.83026653
87,4580020121HS2022002,부안군 수소충전소,063-584-4839,전북 부안군 행안면 부안3농공단지길 80,전북 부안군 행안면 역리 1200-1,1,단독,,1,승용,8000,11111111,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,,,126.7234173,35.73847703
88,2723020121HS2022003,관음 수소충전소,053-606-1312,대구 북구 관음로 127,대구 북구 관음동 354,2,복합,CNG,5,승용/버스,8800,11111011,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,08:00,20:00,,,128.5415653,35.94290683
89,1150020121HS2022001,마곡 에코 수소충전소,02-6081-8883,서울특별시 강서구 양천로 225,서울특별시 강서구 마곡동 61-1,1,단독,,5,승용/버스,8800,11111101,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,08:00,20:00,,,126.8291515,37.57308112
90,4276020121HS2022009,평창 대관령 수소충전소,033-333-4415,강원도 평창군 대관령면 경강로 5754,강원도 평창군 대관령면 횡계리 14-297,1,단독,,1,승용,8800,11111111,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,,,128.7584075,37.68554894
